day_id,dpt_cty_cd,arrv_cty_cd,dpt_airpt_cd,arrv_airpt_cd,carr_cd,flt_nbr,cls_cd,sub_cls_cd,flt_rte_cd,flt_seg_dpt_hh,flt_seg_dpt_mm,flt_seg_arrv_dt,flt_seg_arrv_hh,flt_seg_arrv_mm,flt_seg_seq_nbr,aircrft_typ,flt_seg_dstnc,leg_qty,cls_cpc_qty,pax_qty,fc_pax_qty,grp_pax_qty,ffp_pax_qty,net_amt,y_fr_amt
2012/9/15,DBF,ADB,DFB,AEF,CF,1152,Y,S,DFB-AEF,17,35,2012/9/15,20,35,12,320,1625,1,0,0,0,0,0,570.33,1700
2012/10/22,AGD,GCC,GDF,FEC,CF,1265,D,D,GDF-CAG-FEC,12,40,2012/10/22,16,40,13,320,1595,2,0,0,0,0,0,,1780
2012/9/5,BFA,DFG,FBF,BDD,FG,1106,Y,W,ABB-FBF-BDD,19,10,2012/9/5,21,10,23,319,1150,2,0,0,0,0,0,,1210
2012/7/5,GCC,BBE,FEC,EGG,EG,1503,Y,H,FEC-EGG,10,55,2012/7/5,12,50,12,738,976,1,0,2,0,0,0,924.47,1180
2012/8/5,AFA,CFC,CED,GAD,FB,1849,Y,Z,CED-EGG-GAD,10,0,2012/8/5,17,5,13,320,3517,2,0,4,0,0,0,,3050
2012/6/13,GFG,GAD,ACD,CCG,EG,1848,Y,Y,ACD-CCG,21,0,2012/6/13,23,40,12,320,1845,1,149,17,0,0,0,1842.7,1830
2012/6/12,EFF,BBE,FCD,EGG,ED,1769,F,A,FCD-EGG-ACD,9,10,2012/6/12,12,45,12,321,2321,2,0,0,0,0,0,,1830
2012/7/25,BBE,EEA,EGG,DEA,ED,1021,F,A,CBG-EGG-DEA,20,50,2012/7/25,23,30,23,319,1717,2,0,0,0,0,0,,1580
2012/9/7,AGD,ADB,GDF,AEF,CF,1759,Y,B,GDF-AEF,11,40,2012/9/7,14,40,12,320,1652,1,0,6,0,0,5,1592.05,1830
2012/10/6,DCF,DAD,GEG,DGD,AC,1396,Y,L,CCG-GEG-DGD,10,25,2012/10/6,14,45,23,738,3217,2,0,3,0,0,0,2474.92,9378.64
2012/9/13,GFG,BFB,ACD,EEA,CG,1364,Y,I,ACD-EEA,9,50,2012/9/13,10,30,12,733,288,1,0,0,0,0,0,,760
2012/5/18,AEF,GFG,AFF,ACD,BB,1668,Y,I,ECE-AFF-ACD,22,5,2012/5/19,0,5,23,319,1110,2,0,0,0,0,0,459.77,950
2012/7/20,FCE,CDE,ABA,CCE,BE,1457,Y,Q,ABA-CCE,19,5,2012/7/20,20,55,12,738,942,1,0,0,0,0,0,528.94,1080
2012/5/28,ADB,CGF,AEF,BFE,ED,1724,Y,B,AEF-CCC-BFE,18,20,2012/5/28,23,10,13,320,1923,2,0,0,0,0,0,,1890
2012/9/1,ACG,BCE,CBG,CCC,ED,1999,Y,M,CBG-FBB-CCC,8,0,2012/9/1,11,30,13,738,1328,2,0,0,0,0,0,,1800
2012/9/6,GFG,EFG,ACD,GCB,BB,1500,F,A,ACD-GCB-BDD,8,20,2012/9/6,10,50,12,737,1708,2,0,0,0,0,0,1779.75,1640
2012/8/14,AEF,ACF,AFF,BCD,ED,1904,C,C,AEF-AFF-BCD,18,55,2012/8/14,22,30,23,319,2263,2,0,0,0,0,0,,2080
2012/5/24,CAG,AFG,AEA,FBD,AF,1580,Y,Q,AEA-FBD-BEF,8,55,2012/5/24,10,30,12,E90,860,2,0,9,0,0,7,556.84,930
2012/5/7,ABF,CDE,BBB,FFE,DF,1349,F,F,BBB-FFE,9,0,2012/5/7,9,55,12,738,354,1,8,2,2,0,2,1467.86,630
2012/10/20,CFC,EBF,GAD,DBF,AF,1669,Y,S,GAD-DBF,18,45,2012/10/20,19,30,12,E90,279,1,0,0,0,0,0,,1000
2012/7/4,DEF,GCC,ECE,FEC,DF,1241,Y,W,ECE-FEC,8,0,2012/7/4,10,0,12,738,1091,1,0,0,0,0,0,,1190
2012/7/7,FGB,ADB,EEC,AEF,ED,1536,F,P,EEC-AEF,7,55,2012/7/7,10,10,12,738,1331,1,0,0,0,0,0,1909.28,1410
2012/10/11,GCC,CEG,FEC,EAD,CG,1652,F,F,FEC-EAD,17,30,2012/10/11,20,0,12,323,1186,1,12,2,2,0,1,2747.17,1280
2012/5/22,CEG,CBD,ABF,GGG,CG,1737,Y,I,ABF-DEA-GGG,8,10,2012/5/22,12,55,13,320,,2,0,0,0,0,0,,2200
2012/6/22,GAD,ADB,CCG,AEF,ED,1426,W,Z,CCG-AEF,21,10,2012/6/22,23,20,12,320,1081,1,0,18,0,0,0,886.2,1260
2012/7/19,BFA,AFF,FBF,ADD,CG,1109,Y,M,FBF-ADD,7,50,2012/7/19,9,20,12,EMB,882,1,0,10,0,0,5,572.53,810
2012/7/2,ACG,BBE,CBG,EGG,ED,1977,W,Z,CBG-EGG-EEC,20,15,2012/7/2,21,40,12,738,815,2,0,3,0,0,2,646.19,940
2012/5/10,FED,AEC,CDG,FAC,CG,1633,Y,S,CDG-FAC,7,50,2012/5/10,10,30,12,320,1582,1,0,1,0,0,0,866.88,1560
2012/6/10,GCC,FEB,FEC,DCD,CF,1052,D,D,FEC-DCD,7,25,2012/6/10,9,45,12,319,1406,1,0,0,0,0,0,,1250
2012/6/21,DEF,CDE,ECE,FFE,CG,1127,Y,Q,ECE-FFE,16,55,2012/6/21,19,20,12,321,1233,1,0,0,0,0,0,650.48,1180
