day_id,dpt_cty_cd,arrv_cty_cd
2012/9/15,DBF,ADB
2012/10/22,AGD,GCC
2012/9/5,BFA,DFG
2012/7/5,GCC,BBE
2012/8/5,AFA,CFC
2012/6/13,GFG,GAD
2012/6/12,EFF,BBE
2012/7/25,BBE,EEA
2012/9/7,AGD,ADB
2012/10/6,DCF,DAD
2012/9/13,GFG,BFB
2012/5/18,AEF,GFG
2012/7/20,FCE,CDE
2012/5/28,ADB,CGF
2012/9/1,ACG,BCE
2012/9/6,GFG,EFG
2012/8/14,AEF,ACF
2012/5/24,CAG,AFG
2012/5/7,ABF,CDE
2012/10/20,CFC,EBF
2012/7/4,DEF,GCC
2012/7/7,FGB,ADB
2012/10/11,GCC,CEG
2012/5/22,CEG,CBD
2012/6/22,GAD,ADB
2012/7/19,BFA,AFF
2012/7/2,ACG,BBE
2012/5/10,FED,AEC
2012/6/10,GCC,FEB
2012/6/21,DEF,CDE
2012/6/4,BDC,AEF
2012/7/1,AFB,FGF
2012/8/9,AEC,DEF
2012/7/11,CAG,ADB
2012/6/16,EGF,GCC
2012/6/19,CFC,CDE
2012/6/2,DFG,ACF
2012/9/8,DCF,EAE
2012/10/3,GCC,EAE
2012/8/13,GDF,DFG
2012/9/15,DBF,ADB
2012/6/25,CDE,EFG
2012/9/5,BFA,DFG
2012/7/5,GCC,BBE
2012/8/5,AFA,CFC
2012/6/13,GFG,GAD
2012/6/12,EFF,BBE
2012/7/25,BBE,EEA
2012/9/7,AGD,ADB
2012/10/6,DCF,DAD
2012/9/13,GFG,BFB
2012/5/18,AEF,GFG
2012/7/20,FCE,CDE
2012/5/28,ADB,CGF
2012/9/1,ACG,BCE
2012/9/6,GFG,EFG
2012/8/14,AEF,ACF
2012/5/24,CAG,AFG
2012/5/7,ABF,CDE
2012/10/20,CFC,EBF
2012/7/4,DEF,GCC
2012/7/7,FGB,ADB
2012/10/11,GCC,CEG
2012/5/22,CEG,CBD
2012/6/22,GAD,ADB
2012/7/19,BFA,AFF
2012/7/2,ACG,BBE
2012/5/10,FED,AEC
2012/5/17,AFA,GAD
2012/6/21,DEF,CDE
2012/6/4,BDC,AEF
2012/7/1,AFB,FGF
2012/8/9,AEC,DEF
2012/7/11,CAG,ADB
2012/6/16,EGF,GCC
2012/6/19,CFC,CDE
2012/6/2,DFG,ACF
2012/9/8,DCF,EAE
2012/10/3,GCC,EAE
2012/8/13,GDF,DFG
2012/9/15,DBF,ADB
2012/6/25,CDE,EFG
2012/9/5,BFA,DFG
2012/7/5,GCC,BBE
2012/8/5,AFA,CFC
2012/6/13,GFG,GAD
2012/6/12,EFF,BBE
2012/7/25,BBE,EEA
2012/9/7,AGD,ADB
2012/10/6,DCF,DAD
2012/9/13,GFG,BFB
2012/5/18,AEF,GFG
2012/7/20,FCE,CDE
2012/5/28,ADB,CGF
2012/9/1,ACG,BCE
2012/9/6,GFG,EFG
2012/8/14,AEF,ACF
2012/5/24,CAG,AFG
2012/5/7,ABF,CDE
2012/10/20,CFC,EBF
2012/7/4,DEF,GCC
2012/7/7,FGB,ADB
2012/10/11,GCC,CEG
2012/5/22,CEG,CBD
2012/5/5,BCE,CDE
2012/7/19,BFA,AFF
2012/7/26,DFG,EEA
2012/5/10,FED,AEC
2012/5/17,AFA,GAD
2012/6/21,DEF,CDE
2012/6/4,BDC,AEF
2012/7/1,AFB,FGF
2012/8/9,AEC,DEF
2012/7/11,CAG,ADB
2012/6/16,EGF,GCC
2012/6/19,CFC,CDE
2012/6/2,DFG,ACF
2012/9/8,DCF,EAE
2012/10/3,GCC,EAE
2012/8/13,GDF,DFG
2012/9/15,DBF,ADB
2012/6/25,CDE,EFG
2012/9/5,BFA,DFG
2012/7/5,GCC,BBE
2012/8/5,AFA,CFC
